date,category,amount,description
2026-04-01,Food,12.50,Breakfast at cafe
2026-04-01,Transport,3.75,Bus fare to office
2026-04-02,Utilities,85.00,Electricity bill
2026-04-03,Food,9.20,Lunch at canteen
2026-04-04,Entertainment,15.00,Movie ticket
2026-04-05,Food,45.60,Grocery shopping
2026-04-07,Transport,18.00,Cab to airport
2026-04-08,Health,22.00,Pharmacy — vitamins
2026-04-10,Food,30.00,Dinner with friends
2026-04-12,Shopping,59.99,Running shoes
2026-04-14,Utilities,12.00,Internet top-up
2026-04-15,Food,8.40,Coffee and snacks
2026-04-18,Transport,6.50,Metro card recharge
2026-04-20,Health,50.00,Doctor consultation
2026-04-22,Entertainment,9.99,Streaming subscription
2026-04-24,Food,27.80,Weekly lunch meal prep
2026-04-25,Shopping,14.25,Stationery supplies
2026-04-26,Transport,3.75,Bus fare home
